Subject,Block,Cond,Time,Signal
7,Can,Standard,0.0390625,3.9013211036415364e-07
7,Can,Standard,0.046875,6.69922657270247e-07
7,Can,Standard,0.0546875,8.095776539990262e-07
7,Can,Standard,0.0625,6.720525818547995e-07
7,Can,Standard,0.0703125,4.923187304708012e-07
7,Can,Standard,0.078125,4.915230255148507e-07
7,Can,Standard,0.0859375,5.511146303441395e-07
7,Can,Standard,0.09375,4.917450386193927e-07
7,Can,Standard,0.1015625,3.5549292691185256e-07
7,Can,Standard,0.109375,2.217176319081455e-07
7,Can,Standard,0.1171875,5.635372113711826e-08
7,Can,Standard,0.125,-1.0794077995890781e-07
7,Can,Standard,0.1328125,-1.3155571059449118e-07
7,Can,Standard,0.140625,-2.6263004265003485e-09
7,Can,Standard,0.1484375,1.4006197198593714e-07
7,Can,Standard,0.15625,2.582745693542468e-07
7,Can,Standard,0.1640625,4.497626708591984e-07
7,Can,Standard,0.171875,7.268953324350831e-07
7,Can,Standard,0.1796875,9.657768448636028e-07
7,Can,Standard,0.1875,1.0670014848827189e-06
7,Can,Standard,0.1953125,1.030276679849233e-06
7,Can,Standard,0.203125,9.136647152643328e-07
7,Can,Standard,0.2109375,8.010477217695704e-07
7,Can,Standard,0.21875,7.351557305034511e-07
7,Can,Standard,0.2265625,6.515663096121268e-07
7,Can,Standard,0.234375,4.772860687512485e-07
7,Can,Standard,0.2421875,2.752472397334659e-07
7,Can,Standard,0.25,1.655048334385196e-07
7,Can,Standard,0.2578125,1.5667407381479243e-07
7,Can,Standard,0.265625,1.7958318590403637e-07
7,Can,Standard,0.2734375,2.0761842595217836e-07
7,Can,Standard,0.28125,2.3904915635938276e-07
7,Can,Standard,0.2890625,2.5170134956415876e-07
7,Can,Standard,0.296875,2.5035845800297837e-07
